recall_number,language,title,parts_available,codes,heures,bulletin_url,lettre_url,statut,lettre_urls,bulletin_file,lettre_file,lettre_files,owner_letter_count,owner_letter_1,owner_letter_1_remedy,owner_letter_2,owner_letter_2_remedy,owner_letter_3,owner_letter_3_remedy,owner_letter_4,owner_letter_4_remedy,owner_letter_5,owner_letter_5_remedy
25S52,EN-US,"Certain 2023-2025 Model Year Escape and Corsair, 2024-2025 Model Year Nautilus, 2025-2026 Model Year Bronco Sport and 2025 Model Year Maverick Vehicles Equipped with an Engine Block Heater System -Block Heater Replacement",yes,25S52F / MT25S52G / MT25S52H,"1,5h / 1,5h / 1,8h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112887/25S52-S2_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/113037/25S52-S2__Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/97869/25S52_No_Parts_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/98992/25S52_Repair_Available_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111930/25S52-S1__Interim_Repair_Available_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/113037/25S52-S2__Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\bulletin_25S52-S2_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\lettre_4_25S52-S2__Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\lettre_1_25S52_No_Parts_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\lettre_2_25S52_Repair_Available_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\lettre_3_25S52-S1__Interim_Repair_Available_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25S52\EN_US\lettre_4_25S52-S2__Repair_Available_Owner_Letter.pdf,4,no,"Parts are not available. Ford is working to provide parts for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available by the fourth quarter of 2025.",no,"Ford has authorized your dealer to perform one of the two following remedies: Parts are not available. Ford is working to provide parts for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available by the fourth quarter of 2025. An alternate remedy is also available for owners who would like to disable the vehicle’s block heater. For those customers that choose this option, Ford has authorized your dealer to remove the block heater element and power cable and install a threaded plug free of charge. If the block heater element is removed under this alternate remedy, the dealer will store the power cable in the vehicle’s trunk compartment and your vehicle will be automatically added to Customer Satisfaction Program 25B33. Once parts to support the block heater remedy become available, Ford will authorize your dealer to install the block heater element free of charge.",no,"Ford has authorized your dealer to perform one of the two following remedies: • Have the block heater disabled: If you choose this option, Ford has authorized your dealer to remove the block heater element and power cable and install a threaded plug free of charge. If the block heater element is removed under this alternate remedy, the dealer will store the power cable in the vehicle’s trunk compartment, and your vehicle will be automatically added to Customer Satisfaction Program 25B33. Once parts to support the block heater remedy become available, Ford will authorize your dealer to install the block heater element free of charge. • Wait for the new block heater remedy parts: Parts are not available. Ford is working to provide parts for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available in June 2026. If you choose to leave the block heater element installed and wait for the remedy block heater due out later this year, no action is necessary. However, to reduce the risk of an underhood fire, refrain from plugging in your engine block heater system until remedy parts are available and repair is completed.",yes,"A remedy and the necessary parts are now available to repair your vehicle. Ford has authorized your dealer to perform this service free of charge. Your dealer will install a new engine block heater, as well as inspect the power cable, and replace it if damaged. To reduce the risk of an underhood fire, refrain from plugging in your engine block heater system until the repair is completed.",,
25S88,EN-US,Certain 2025 Model Year F-150 and 2025-2026 Model Year Super Duty Vehicles With a Digital Instrument Panel Cluster (IPC) -Instrument Panel Cluster Software Update,yes,MT25S88B / MT25S88C / 25S88D / MT25S88RR / 25S88MM,"1,0h / 0,8h / 0,3h / 5,0h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104437/25S88-S1_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104468/25S88-S1_Repair_Available_Owner_Letter_OTA.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104469/25S88-S1_Repaired_at_Assembly_Plant_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104468/25S88-S1_Repair_Available_Owner_Letter_OTA.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S88\EN_US\bulletin_25S88-S1_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S88\EN_US\lettre_2_25S88-S1_Repair_Available_Owner_Letter_OTA.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25S88\EN_US\lettre_1_25S88-S1_Repaired_at_Assembly_Plant_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25S88\EN_US\lettre_2_25S88-S1_Repair_Available_Owner_Letter_OTA.pdf,2,yes,"Our records indicate that the remedy for this recall has been performed on your vehicle, either at Ford’s assembly plant prior to delivery or through an Over-The-Air (OTA) software update. The software update was designed specifically to resolve the issue described above. No visit to the dealership is required.",yes,Software is available to repair your vehicle. Ford has authorized your dealer to update the IPC to the latest software free of charge.,,,,,,
25SA3,EN-US,Certain 2024-2025 Model Year Ford Explorer and 2024-2026 Model Year Lincoln Aviator Vehicles -Trailer Tow Hitch Bolts - Inspection,yes,25SA3A / 25SA3B,"0,6h / 0,7h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107481/25SA3-S1_Dlr_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104975/25SA3_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104975/25SA3_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SA3\EN_US\bulletin_25SA3-S1_Dlr_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SA3\EN_US\lettre_1_25SA3_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SA3\EN_US\lettre_1_25SA3_Repair_Available_Owner_Letter.pdf,1,yes,Parts are now available to repair your vehicle. Ford has authorized your dealer to inspect and secure or replace the trailer tow hitch bolts as required free of charge.,,,,,,,,
25SB4,EN-US,Certain 2026 Model Year Econoline Vehicles -Blower Motor Replacement,yes,25SB4A / 25SB4B / 25SB4ZZ,"0,5h / 0,5h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109528/25SB4-S1_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109548/25SB4-S1_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/105553/25SB4_No_Repair_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108267/25SB4_Inspect_Owner_Letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109548/25SB4-S1_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SB4\EN_US\bulletin_25SB4-S1_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SB4\EN_US\lettre_3_25SB4-S1_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SB4\EN_US\lettre_1_25SB4_No_Repair_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25SB4\EN_US\lettre_2_25SB4_Inspect_Owner_Letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25SB4\EN_US\lettre_3_25SB4-S1_Repair_Available_Owner_Letter.pdf,3,no,"Parts are not available. Ford is working to provide parts for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available in Q1 of 2026.",no,"Ford has authorized your dealer to inspect the blower motor assembly. If your vehicle passes the inspection, the Field Service Action will be closed. If your vehicle fails the inspection, and damage is found on the blower motor assembly, a rental vehicle will be provided until parts to repair the blower motor assembly are available.",yes,Parts are available to repair your vehicle. Ford has authorized your dealer to inspect and possibly replace the blower motor assembly. free of charge.,,,,
25SC3,EN-US,Certain 2025-2026 Model Year Bronco and Bronco Sport Vehicles -Instrument Panel Cluster Software Update,yes,25SC3B / 25SC3C / 25SC3D / 25SC3E / 25SC3F / MT25SC3RR,"0,9h / 0,5h / 0,4h / 0,8h / 0,7h / 5,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106163/25SC3__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106310/25SC3_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106310/25SC3_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SC3\EN_US\bulletin_25SC3__Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SC3\EN_US\lettre_1_25SC3_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SC3\EN_US\lettre_1_25SC3_Repair_Available_Owner_Letter.pdf,1,yes,Software is now available to repair your vehicle. Ford has authorized your dealer to update the Instrument Panel Cluster free of charge.,,,,,,,,
25SD8,EN-US,Certain 2026 Super Duty Vehicles with 10.5” Single Rear Wheel (SRW) Axle -Right Rear Axle Shaft Inspection,yes,25SD8B / 25SD8C / 25SD8D / 25SD8ZZ,"0,3h / 0,7h / 1,2h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108854/25SD8-S2_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107864/25SD8_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107864/25SD8_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SD8\EN_US\bulletin_25SD8-S2_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SD8\EN_US\lettre_1_25SD8_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25SD8\EN_US\lettre_1_25SD8_Repair_Available_Owner_Letter.pdf,1,yes,Parts are now available to repair your vehicle. Ford has authorized your dealer to inspect and replace your right rear axle shaft free of charge.,,,,,,,,
25C68,EN-US,Certain 2025-2026 Model Year Corsair and Escape Vehicles -Left and Right Rear Seatbelt Retractor Bolt Torque Check,yes,25C68B / 25C68MM,"0,9h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107078/25C68_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107588/25C68_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107588/25C68_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C68\EN_US\bulletin_25C68_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C68\EN_US\lettre_1_25C68_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C68\EN_US\lettre_1_25C68_Repair_Available_Owner_Letter.pdf,1,yes,"Parts are available to repair your vehicle. Ford has authorized your dealer to inspect the left and right rear seatbelt retractor bolts and secure or replace them, as required, free of charge.",,,,,,,,
25C69,EN-US,"Certain 2022-2025 Model Year F-150 Lightning, 2024-2026 Mustang Mach-E, 2025-2026 Maverick Hybrid, 2026 Escape Hybrid, and 2026 Corsair PHEV vehicles. - Integrated Park Module Software Update",yes,MT25C69B / MT25C69C / MT25C69D,"0,6h / 0,8h / 0,8h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112382/25C69-S4_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108428/25C69_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108429/25C69_No_Repair_Owner_letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/113006/25C69-S4_No_Repair_Owner_letter.pdf | https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108428/25C69_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C69\EN_US\bulletin_25C69-S4_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C69\EN_US\lettre_3_25C69_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\25C69\EN_US\lettre_1_25C69_No_Repair_Owner_letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25C69\EN_US\lettre_2_25C69-S4_No_Repair_Owner_letter.pdf | E:\work\leadgeneration\Ford_ai_recalls\downloads\25C69\EN_US\lettre_3_25C69_Repair_Available_Owner_Letter.pdf,3,no,"Software is not available. Ford is working to provide software for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available Quarter 1, of 2026.",no,"A remedy is not yet available. Ford is working to provide software for this repair. When the remedy becomes available, Ford will notify you via mail to schedule a service appointment with your dealer for repairs to be completed free of charge. The remedy is anticipated to be available by late August 2026.",yes,Software is available to repair your vehicle. Ford has authorized your dealer to update your vehicle’s Secondary On Board Diagnostic Module C (SOBDMC) software free of charge.,,,,
26C02,EN-US,Certain 2026 Model Year Explorer Vehicles -Windshield Replacement,yes,26C02C / 26C02B,"0,2h / 2,4h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108051/26C02_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108235/26C02_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108235/26C02_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26C02\EN_US\bulletin_26C02_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26C02\EN_US\lettre_1_26C02_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26C02\EN_US\lettre_1_26C02_Repair_Available_Owner_Letter.pdf,1,yes,Parts are now available to repair your vehicle. Ford has authorized your dealer to replace the windshield free of charge.,,,,,,,,
26S05,EN-US,Certain 2026 Model Year E-Transit Vehicles High Voltage Battery (HVB) Bus Bar Fastener Inspection,yes,26S05A / 26S05B / 26S05C / 26S05D,"5,1h / 5,3h / 5,5h / 0,3h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109105/26S05_R_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108569/26S05_Repair_Available_Owner_Letter.pdf,Solution available,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108569/26S05_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26S05\EN_US\bulletin_26S05_R_Full_Dealer_Bulletin.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26S05\EN_US\lettre_1_26S05_Repair_Available_Owner_Letter.pdf,E:\work\leadgeneration\Ford_ai_recalls\downloads\26S05\EN_US\lettre_1_26S05_Repair_Available_Owner_Letter.pdf,1,yes,"Parts are now available to repair your vehicle. Ford has authorized your dealer to inspect the HVB for missing washers. If any washers are missing, your dealer will install the missing washer(s) and replace the affected bolts and bus bars, free of charge.",,,,,,,,
