recall_number,language,title,statut,codes,heures,bulletin_url,lettre_url,lettre_urls,bulletin_file,lettre_file,lettre_files,parts_available,owner_letter_count,owner_letter_1,owner_letter_1_remedy,owner_letter_2,owner_letter_2_remedy,owner_letter_3,owner_letter_3_remedy,owner_letter_4,owner_letter_4_remedy,owner_letter_5,owner_letter_5_remedy,error,extracted_at
25S88,EN-US,Certain 2025 Model Year F-150 and 2025-2026 Model Year Super Duty Vehicles With a Digital Instrument Panel Cluster (IPC) -Instrument Panel Cluster Software Update,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104437/25S88-S1_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104468/25S88-S1_Repair_Available_Owner_Letter_OTA.pdf,,,,,,,,,,,,,,,,,,
25S88,FR-CA,Certains véhicules F-150 de l'année-modèle 2025 et Super Duty des années-modèles 2025 et 2026 dotés d'un tableau de bord – Mise à jour logicielle du tableau de bord,Solution disponible,MT25S88C / 25S88D / MT25S88RR / 25S88MM,"jusqu'à 0,8h / 0,3h / jusqu'à 5,0h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104439/25S88-S1_Full_Dealer_Bulletin_FRC.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104470/25S88-S1_Repair_Available_Owner_Letter_FRC_OTA.pdf,,,,,,,,,,,,,,,,,,
25SA3,EN-US,Certain 2024-2025 Model Year Ford Explorer and 2024-2026 Model Year Lincoln Aviator Vehicles -Trailer Tow Hitch Bolts - Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107481/25SA3-S1_Dlr_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104975/25SA3_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SA3,FR-CA,Certains véhicules Ford Explorer des années-modèles 2024 et 2025 et Lincoln Aviator des années-modèles 2024 et 2026 - Boulons d'attelage de remorque - Inspection,Solution disponible,25SA3B / 25SA3A,"0,6h / 0,7h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107482/25SA3-S1_Dlr_Bulletin_FRC.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/104976/25SA3_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SB4,EN-US,Certain 2026 Model Year Econoline Vehicles -Blower Motor Replacement,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109528/25SB4-S1_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/105553/25SB4_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SB4,FR-CA,Certains véhicules Econoline de l'année-modèle 2026 – Remplacement du moteur de ventilateur,Solution disponible,25SB4A / 25SB4B / 25SB4ZZ,"0,5h / 0,5h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109530/25SB4-S1_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/105554/25SB4_French_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SC3,EN-US,Certain 2025-2026 Model Year Bronco and Bronco Sport Vehicles -Instrument Panel Cluster Software Update,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106163/25SC3__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106310/25SC3_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SC3,FR-CA,Certains véhicules Bronco et Bronco Sport des années-modèles 2025 et 2026 – Mise à jour logicielle du tableau de bord,Solution disponible,25SC3B / 25SC3C / 25SC3D / 25SC3E / 25SC3F / MT25SC3RR,"0,9h / 0,5h / 0,4h / 0,8h / 0,7h / jusqu'à 5,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106164/25SC3_French__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/106311/25SC3_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SD8,EN-US,Certain 2026 Super Duty Vehicles with 10.5” Single Rear Wheel (SRW) Axle -Right Rear Axle Shaft Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108854/25SD8-S2_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107864/25SD8_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SD8,FR-CA,"Certains véhicules Super Duty de l'année-modèle 2026 à roues arrière simples (RARS) de 267 mm (10,5 po) – Inspection du demi-arbre arrière droit",Solution disponible,25SD8B / 25SD8C / 25SD8D / 25SD8ZZ,"0,3h / 0,7h / 1,2h / 0,2h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108856/25SD8-S2_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107865/25SD8_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25C68,EN-US,Certain 2025-2026 Model Year Corsair and Escape Vehicles -Left and Right Rear Seatbelt Retractor Bolt Torque Check,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107078/25C68_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107588/25C68_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25C68,FR-CA,Certains véhicules Corsair et Escape des années-modèles 2025 et 2026 – Vérification du couple des boulons des enrouleurs de ceinture de sécurité arrière gauche et droit,Solution disponible,25C68B / 25C68MM,"0,9h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107081/25C68_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/107589/25C68_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25C69,EN-US,"Certain 2022-2025 Model Year F-150 Lightning, 2024-2026 Mustang Mach-E, 2025-2026 Maverick Hybrid, 2026 Escape Hybrid, and 2026 Corsair PHEV vehicles. - Integrated Park Module Software Update",Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112382/25C69-S4_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108429/25C69_No_Repair_Owner_letter.pdf,,,,,,,,,,,,,,,,,,
25C69,FR-CA,"Certains véhicules F-150 Lightning des années-modèles 2022 à 2025, Mustang Mach-E des années-modèles 2024 à 2026, Escape hybride année-modèle 2026, Corsair hybride rechargeable année-modèle 2026 et Maverick équipés d'un moteur hybride des années-modèles 2025 et 2026.- Mise à jour logicielle du module de stationnement intégré",Solution disponible,MT25C69B / MT25C69C / MT25C69D / MT25C69RR / 25C69MM,"jusqu'à 0,6h / jusqu'à 0,8h / jusqu'à 0,8h / jusqu'à 7,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112381/25C69-S4_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108434/25C69_French__No_Repair_Owner_letter.pdf,,,,,,,,,,,,,,,,,,
26C02,EN-US,Certain 2026 Model Year Explorer Vehicles -Windshield Replacement,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108051/26C02_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108235/26C02_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C02,FR-CA,Certains véhicules Explorer de l'année-modèle 2026 – Remplacement du pare-brise,Solution disponible,26C02C / 26C02B,"0,2h / 2,4h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108053/26C02_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108236/26C02_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S05,EN-US,Certain 2026 Model Year E-Transit Vehicles High Voltage Battery (HVB) Bus Bar Fastener Inspection,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109105/26S05_R_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108569/26S05_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S05,FR-CA,Certains véhicules E-Transit de l'année-modèle 2026 Inspection des fixations de la barre omnibus de la batterie haute tension (HVB),Solution disponible,26S05A / 26S05B / 26S05C,"5,1h / 5,3h / 5,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109106/26S05_R_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/108570/26S05_French_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SC4,EN-US,Certain 2020-2026 Model Year Escape and 2021-2026 Corsair Plug-in Hybrid Electric Vehicles (PHEV) – High Voltage Battery Cell Internal Short Circuit,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111481/25SC4-A-S2__Advance__Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109230/UPDATED_25SC4-A-S1_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
25SC4,FR-CA,Certains véhicules électriques hybrides rechargeables Escape des années-modèles 2020 à 2026 et Corsair des années-modèles 2021 à 2026 – court-circuit interne de l'élément de batterie haute tension,Solution disponible,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/111482/25SC4-A-S2_French_Advance___Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109231/UPDATED_French_25SC4-A-S1_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26C10,EN-US,Certain 2021-2027 Model Year Multiple Vehicle Lines Equipped with a Trailer Module (TRM) -Trailer Module Reprogramming,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110800/26C10-S1__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110721/26C10_OTA_Remedy_Succesful_Owner_R_Letter.pdf,,,,,,,,,,,,,,,,,,
26C10,FR-CA,Certaines gammes de véhicules des années-modèles 2021 à 2027 équipées d'un module de remorque (TRM) – Reprogrammation du module de remorque,Solution disponible,26C10B / 26C10C / MT26C10RR / 26C10MM,"0,3h / 0,3h / jusqu'à 4,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110801/26C10-S1_French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110725/26C10_French_OTA_Remedy_Succesful_Owner_R_Letter.pdf,,,,,,,,,,,,,,,,,,
26S09,EN-US,Certain 2021-2024 Model Year Edge and 2021-2026 Bronco Vehicles -Infotainment Screen Blank,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112749/26S09-S2__Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110601/26S09_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S09,FR-CA,Certains véhicules Edge des années-modèles 2021 à 2024 et certains véhicules Bronco des années-modèles 2021 à 2026 – Écran d'infodivertissement vide,Solution disponible,26S09B / 26S09C / MT26S09D / 26S09MM,"0,9h / 0,3h / jusqu'à 6,5h / 0,5h",https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/112750/26S09-S2__French_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/110605/26S09_French_No_Repair_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
26S12,EN-US,Certain 2026-2027 Model Year Econoline Vehicles Equipped with Exterior Sounder (Backup Alarm) -Hardshell Connector Replacement,Solution available,,,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109621/26S12_Full_Dealer_Bulletin.pdf,https://www.fordtechservice.dealerconnection.com/vdirsnet/applicationservices/file/download/109780/26S12_Repair_Available_Owner_Letter.pdf,,,,,,,,,,,,,,,,,,
